StartTime: 2021-08-30 17:22:21.033
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM14	 17:30:10.874	0.5947	0.5151	0.6372	-14.2212	-12.6343	9.8877	43.1433	-37.1228	132.5665	33.1300	99	-375	62	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.874	0.6313	0.5103	0.5000	-31.6162	18.4937	5.6152	46.8842	-38.9081	131.5448	34.2700	168	-307	91	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.875	0.3706	0.6445	0.6157	-20.7520	-5.0049	10.4370	51.8610	-22.9175	124.8981	33.4500	159	-360	121	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.875	0.3760	0.6484	0.6274	-20.8130	-9.5215	14.2822	51.8610	-22.9175	124.8981	33.3900	159	-360	121	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.878	0.3760	0.6484	0.6274	-20.8130	-9.5215	14.2822	51.7566	-23.0054	124.9640	33.3900	159	-360	121	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.878	0.5918	0.5088	0.6362	-14.2212	-12.6343	9.8877	42.9895	-37.2546	132.6270	33.1300	98	-375	60	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.881	0.3799	0.6519	0.6323	-20.8130	-11.6577	16.4185	51.7566	-23.0054	124.9640	33.4500	158	-360	120	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.881	0.3799	0.6519	0.6323	-20.8130	-11.6577	16.4185	51.6522	-23.1097	125.0244	33.4500	158	-360	120	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.884	0.3838	0.6543	0.6372	-20.8130	-11.6577	16.4185	51.6522	-23.1097	125.0244	33.6400	157	-360	120	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.884	0.3838	0.6543	0.6372	-21.1182	-14.0991	18.3716	51.6522	-23.1097	125.0244	33.6400	157	-360	120	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
